구역,자원회수시설,하천,Latitude,Longitude,,,,,,,,,,,,,,,,,,,
1구역,마포자원회수시설,불광천,37.571047,126.8999941,,,,,,,,,,,,,,,,,,,불2
1구역,마포자원회수시설,불광천,37.572945,126.900033,,,,,,,,,,,,,,,,,,,불3
1구역,마포자원회수시설,불광천,37.562607,126.899471,,,,,,,,,,,,,,,,,,,
1구역,마포자원회수시설,홍제천,37.572646,126.9233239,,자원회수시설,Latitude,Longitude,,,,,,,,,,,,,,,홍1
1구역,마포자원회수시설,홍제천,37.573585,126.924267,,마포자원회수시설,37.5703381,126.8802012,,,,,,,,,,,,,,,홍2
1구역,마포자원회수시설,홍제천,37.574848,126.92594,,노원자원회수시설,37.640547,127.0586972,,,,,,,,,,,,,,,
1구역,마포자원회수시설,구파발천,37.63292,126.92493,,양천자원회수시설,37.5416442,126.8839835,,,,,,,,,,,,,,,
1구역,마포자원회수시설,구파발천,37.633506,126.922649,,강남자원회수시설,37.4942219,127.0938061,,,,,,,,,,,,,,,구1
1구역,마포자원회수시설,구파발천,37.63137,126.928856,,,,,,,,,,,,,,,,,,,구3
1구역,마포자원회수시설,청계천,37.56895,126.980548,,,,,,,,,,,,,,,,,,,
2구역,노원자원회수시설,청계천,37.569767,127.008499,,,,,,,,,,,,,,,,,,,청2
2구역,노원자원회수시설,청계천,37.56967,127.006405,,,,,,,,,,,,,,,,,,,청1
2구역,노원자원회수시설,성북천,37.590589,127.0163,,,,,,,,,,,,,,,,,,,성6
2구역,노원자원회수시설,성북천,37.59115,127.015235,,,,,,,,,,,,,,,,,,,성5
2구역,노원자원회수시설,성북천,37.591052,127.012586,,,,,,,,,,,,,,,,,,,성4
2구역,노원자원회수시설,성북천,37.590146,127.011372,,,,,,,,,,,,,,,,,,,성3
2구역,노원자원회수시설,성북천,37.588268,127.008975,,,,,,,,,,,,,,,,,,,성2
2구역,노원자원회수시설,성북천,37.587923,127.007273,,,,,,,,,,,,,,,,,,,성1
2구역,노원자원회수시설,정릉천,37.611473,127.007967,,,,,,,,,,,,,,,,,,,정2
2구역,노원자원회수시설,정릉천,37.611007,127.00802,,,,,,,,,,,,,,,,,,,정1
2구역,노원자원회수시설,묵동천,37.62031,127.086385,,,,,,,,,,,,,,,,,,,묵2
2구역,노원자원회수시설,묵동천,37.615515,127.097554,,,,,,,,,,,,,,,,,,,묵3
2구역,노원자원회수시설,묵동천,37.615091,127.071985,,,,,,,,,,,,,,,,,,,묵1
2구역,노원자원회수시설,중랑천,37.569911,127.078395,,,,,,,,,,,,,,,,,,,
3구역,양천자원회수시설,안양천,37.518501,126.880146,,,,,,,,,,,,,,,,,,,안1
3구역,양천자원회수시설,안양천,37.478035,126.875415,,,,,,,,,,,,,,,,,,,안3
3구역,양천자원회수시설,안양천,37.474636,126.876802,,,,,,,,,,,,,,,,,,,
3구역,양천자원회수시설,안양천,37.50064,126.870448,,,,,,,,,,,,,,,,,,,안2
3구역,양천자원회수시설,목감천,37.48124,126.846295,,,,,,,,,,,,,,,,,,,목1
3구역,양천자원회수시설,목감천,37.481534,126.85024,,,,,,,,,,,,,,,,,,,
3구역,양천자원회수시설,도림천,37.48916,126.896421,,,,,,,,,,,,,,,,,,,도1
3구역,양천자원회수시설,도림천,37.485932,126.900154,,,,,,,,,,,,,,,,,,,도2
3구역,양천자원회수시설,도림천,37.485191,126.902766,,,,,,,,,,,,,,,,,,,
3구역,양천자원회수시설,반포천,37.49908,126.985796,,,,,,,,,,,,,,,,,,,반1
3구역,양천자원회수시설,반포천,37.498626,126.988102,,,,,,,,,,,,,,,,,,,반2
4구역,강남자원회수시설,반포천,37.499551,126.99178,,,,,,,,,,,,,,,,,,,
4구역,강남자원회수시설,양재천,37.490861,127.068267,,,,,,,,,,,,,,,,,,,5
4구역,강남자원회수시설,양재천,37.489609,127.063107,,,,,,,,,,,,,,,,,,,4
4구역,강남자원회수시설,양재천,37.476274,127.041162,,,,,,,,,,,,,,,,,,,2
4구역,강남자원회수시설,양재천,37.482618,127.048084,,,,,,,,,,,,,,,,,,,3
4구역,강남자원회수시설,양재천,37.472332,127.032814,,,,,,,,,,,,,,,,,,,1
4구역,강남자원회수시설,탄천,37.494749,127.102142,,,,,,,,,,,,,,,,,,,탄1
4구역,강남자원회수시설,탄천,37.493515,127.103064,,,,,,,,,,,,,,,,,,,
4구역,강남자원회수시설,세곡천,37.463782,127.090359,,,,,,,,,,,,,,,,,,,세1
4구역,강남자원회수시설,세곡천,37.464551,127.092705,,,,,,,,,,,,,,,,,,,세2
4구역,강남자원회수시설,세곡천,37.465931,127.098014,,,,,,,,,,,,,,,,,,,세3
4구역,강남자원회수시설,세곡천,37.46581,127.100173,,,,,,,,,,,,,,,,,,,
4구역,강남자원회수시설,중랑천,37.566157,127.075711,,,,,,,,,,,,,,,,,,,중3
4구역,강남자원회수시설,중랑천,37.563923,127.074979,,,,,,,,,,,,,,,,,,,중2
4구역,강남자원회수시설,중랑천,37.560065,127.07272,,,,,,,,,,,,,,,,,,,
